event_date	opponent	label	vs_xid	game_type
2026-10-14	Detroit Pistons	NBA Preseason - Detroit Pistons at Minnesota Timberwolves	7430209	preseason
2026-10-25	Toronto Raptors	Toronto Raptors at Minnesota Timberwolves	7432907	regular
2026-10-28	Golden State Warriors	Golden State Warriors at Minnesota Timberwolves	7432835	regular
2026-10-30	LA Clippers	NBA Cup - LA Clippers at Minnesota Timberwolves	7419910	cup
2026-11-02	Milwaukee Bucks	Milwaukee Bucks at Minnesota Timberwolves	7432887	regular
2026-11-08	Utah Jazz	Utah Jazz at Minnesota Timberwolves	7432913	regular
2026-11-12	Dallas Mavericks	Dallas Mavericks at Minnesota Timberwolves	7432915	regular
2026-11-14	Chicago Bulls	Chicago Bulls at Minnesota Timberwolves	7432917	regular
2026-11-16	Portland Trail Blazers	Portland Trail Blazers at Minnesota Timberwolves	7432919	regular
2026-11-17	Portland Trail Blazers	Portland Trail Blazers at Minnesota Timberwolves	7432921	regular
2026-11-19	New York Knicks	New York Knicks at Minnesota Timberwolves	7432923	regular
2026-11-21	Memphis Grizzlies	Memphis Grizzlies at Minnesota Timberwolves	7432925	regular
2026-11-23	Brooklyn Nets	Brooklyn Nets at Minnesota Timberwolves	7431441	regular
2026-11-27	Memphis Grizzlies	NBA Cup - Memphis Grizzlies at Minnesota Timberwolves	7419912	cup
2026-12-16	Los Angeles Lakers	Los Angeles Lakers at Minnesota Timberwolves	7431465	regular
2026-12-18	Los Angeles Lakers	Los Angeles Lakers at Minnesota Timberwolves	7431469	regular
2026-12-21	Phoenix Suns	Phoenix Suns at Minnesota Timberwolves	7431473	regular
2026-12-25	Oklahoma City Thunder	Oklahoma City Thunder at Minnesota Timberwolves	7415393	marquee
2026-12-31	Denver Nuggets	Denver Nuggets at Minnesota Timberwolves	7431483	regular
2027-01-03	San Antonio Spurs	San Antonio Spurs at Minnesota Timberwolves	7431110	regular
2027-01-11	Cleveland Cavaliers	Cleveland Cavaliers at Minnesota Timberwolves	7431182	regular
2027-01-20	Houston Rockets	Houston Rockets at Minnesota Timberwolves	7431499	regular
2027-01-27	Denver Nuggets	Denver Nuggets at Minnesota Timberwolves	7431507	regular
2027-01-29	Charlotte Hornets	Charlotte Hornets at Minnesota Timberwolves	7431509	regular
2027-01-31	Phoenix Suns	Phoenix Suns at Minnesota Timberwolves	7431511	regular
2027-02-06	Miami Heat	Miami Heat at Minnesota Timberwolves	7431517	regular
2027-02-07	Utah Jazz	Utah Jazz at Minnesota Timberwolves	7431519	regular
2027-02-18	San Antonio Spurs	San Antonio Spurs at Minnesota Timberwolves	7431529	regular
2027-02-26	Indiana Pacers	Indiana Pacers at Minnesota Timberwolves	7431536	regular
2027-02-28	Boston Celtics	Boston Celtics at Minnesota Timberwolves (Kevin Garnett Jersey Retirement)	7431543	marquee
2027-03-10	Atlanta Hawks	Atlanta Hawks at Minnesota Timberwolves	7431567	regular
2027-03-13	Philadelphia 76ers	Philadelphia 76ers at Minnesota Timberwolves	7431573	regular
2027-03-22	Detroit Pistons	Detroit Pistons at Minnesota Timberwolves	7431587	regular
2027-03-28	Oklahoma City Thunder	Oklahoma City Thunder at Minnesota Timberwolves	7431591	regular
2027-04-02	Golden State Warriors	Golden State Warriors at Minnesota Timberwolves	7431347	regular
