event_date	section	row	qty	price	cost	invoice_date	sale_type
2026-10-14	112	T	2	242	0	2026-08-15	Manual
2026-10-14	201	W	3	44	0	2026-08-21	Manual
2026-10-14	231	J	2	60	53	2026-08-24	Manual
2026-10-14	122	A	2	50	99	2026-08-30	Manual
2026-10-14	131	Q	2	110	189	2026-08-30	Manual
2026-10-14	206	M	2	55	21.51	2026-08-31	Full Service
2026-10-14	220	W	3	37	0	2026-08-31	Manual
2026-10-14	122	A	2	50	99	2026-08-31	Manual
2026-10-14	104	Y	1	100	0	2026-09-04	Manual
2026-10-14	203	W	1	35	0	2026-09-06	Manual
2026-10-14	203	W	3	35	0	2026-09-06	Manual
2026-10-14	206	M	2	52.16	21.51	2026-09-07	Full Service
2026-10-14	205	K	2	38.56	21	2026-09-08
2026-10-14	207	W	4	54	0	2026-09-09	Manual
2026-10-14	113	R	2	146.53	104.51	2026-09-09
2026-10-14	131	Q	2	110	189	2026-09-09	Manual
2026-10-14	118	Q	2	110.92	57.63	2026-09-10
2026-10-14	209	W	2	63	0	2026-09-10	Manual
2026-10-14	121	Q	4	80	59	2026-09-11
2026-10-14	110	N	2	258	0	2026-09-11	Manual
2026-10-14	205	X	1	38	0	2026-09-12
2026-10-14	106	W	4	120.81	74.23	2026-09-13
2026-10-14	239	W	2	34	0	2026-09-14	Manual
2026-10-14	111	G	2	150	284.23	2026-09-15	Full Service
2026-10-14	205	K	2	36.58	21	2026-09-15
2026-10-14	222	W	2	34	0	2026-09-15	Manual
2026-10-14	211	X	2	84	0	2026-09-16
2026-10-25	124	Y	3	219	0	2026-08-14	Manual
2026-10-25	239	W	2	124	0	2026-08-14	Manual
2026-10-25	203	W	2	97	0	2026-08-15	Manual
2026-10-25	213	W	3	137	0	2026-08-16	Manual
2026-10-25	112	T	2	432	0	2026-08-16	Manual
2026-10-25	225	F	2	89.1	0	2026-08-17
2026-10-25	233	U	3	131	0	2026-08-17	Manual
2026-10-25	109	Y	2	326	0	2026-08-18	Manual
2026-10-25	201	W	3	96	0	2026-08-19	Manual
2026-10-25	220	W	3	90	0	2026-08-20	Manual
2026-10-25	228	W	3	115	0	2026-08-20	Manual
2026-10-25	226	W	2	105	0	2026-08-20	Manual
2026-10-25	211	W	2	160	0	2026-08-21	Manual
2026-10-25	113	R	2	336.48	104.51	2026-08-22
2026-10-25	207	W	3	110	0	2026-08-24	Manual
2026-10-25	231	J	2	150	53	2026-08-24	Manual
2026-10-25	104	Y	2	195	0	2026-08-25	Manual
2026-10-25	239	W	2	90	0	2026-08-25	Manual
2026-10-25	208	tbd	1	218	0	2026-08-25	Manual
2026-10-25	136	R	1	329.99	0	2026-08-25
2026-10-25	106	Q	2	240.57	77.85	2026-08-26	Manual
2026-10-25	231	U	3	160	0	2026-08-26	Manual
2026-10-25	203	W	2	88	0	2026-08-27	Manual
2026-10-25	222	W	2	88	0	2026-08-27	Manual
2026-10-25	206	K	3	150	21	2026-08-27	Manual
2026-10-25	136	Y	4	237	0	2026-08-29	Manual
2026-10-25	111	G	4	400	284.23	2026-08-31	Full Service
2026-10-25	205	K	4	105	21	2026-09-01
2026-10-25	206	K	3	130.99	21	2026-09-01	License
2026-10-25	211	W	2	157	0	2026-09-02	Manual
2026-10-25	122	A	2	200	99	2026-09-03	Manual
2026-10-25	122	A	2	200	99	2026-09-04	Manual
2026-10-25	124	Y	1	190	0	2026-09-04	Manual
2026-10-25	206	M	4	120.47	21.51	2026-09-04	Full Service
2026-10-25	138	Y	3	195	0	2026-09-06	Manual
2026-10-25	118	Y	1	195	0	2026-09-06	Manual
2026-10-25	202	W	3	85	0	2026-09-06	Manual
2026-10-25	131	Q	2	380	189	2026-09-07	Manual
2026-10-25	116	Y	3	240	0	2026-09-07	Manual
2026-10-25	205	W	3	95	0	2026-09-07	Manual
2026-10-25	129	Y	3	304	0	2026-09-08	Manual
2026-10-25	111	V	3	448	0	2026-09-10	Manual
2026-10-25	208	W	3	108	0	2026-09-11	Manual
2026-10-25	101	Q	3	205	112	2026-09-12	Full Service
2026-10-25	222	W	2	78	0	2026-09-14	Manual
2026-10-25	133	Q	2	338	104.51	2026-09-14
2026-10-25	130	T	2	360	284	2026-09-15	Full Service
2026-10-25	236	X	2	86.54	49	2026-09-16	Full Service
2026-10-25	236	X	4	82.42	49	2026-09-17	Full Service
2026-10-28	112	T	2	514	0	2026-08-14	Manual
2026-10-28	129	Y	4	389	0	2026-08-14	Manual
2026-10-28	112	G	1	717	0	2026-08-16	Manual
2026-10-28	203	W	3	116	0	2026-08-17	Manual
2026-10-28	131	N	2	742	0	2026-08-17	Manual
2026-10-28	10	C	2	3266	0	2026-08-18	Manual
2026-10-28	207	W	3	135	0	2026-08-26	Manual
2026-10-28	136	R	2	265	76	2026-08-27	Manual
2026-10-28	136	G	1	280	109.61	2026-08-28	Manual
2026-10-28	205	K	4	90	21	2026-08-28
2026-10-28	213	W	3	138	0	2026-08-28	Manual
2026-10-28	218	W	4	88	0	2026-08-28	Manual
2026-10-28	206	K	6	172.91	21	2026-08-31	License
2026-10-28	101	Y	4	177	0	2026-08-31	Manual
2026-10-28	113	R	2	323.57	104.51	2026-08-31
2026-10-28	205	W	2	87	0	2026-08-31	Manual
2026-10-28	116	Y	2	247	0	2026-08-31	Manual
2026-10-28	222	W	2	77	0	2026-09-01	Manual
2026-10-28	133	Q	2	322.57	104.51	2026-09-01
2026-10-28	222	W	2	77	0	2026-09-02	Manual
2026-10-28	239	W	3	75	0	2026-09-03	Manual
2026-10-28	136	Y	2	255	0	2026-09-04	Manual
2026-10-28	206	M	2	151.27	21.51	2026-09-06	Full Service
2026-10-28	211	W	1	165	0	2026-09-07	Manual
